post_title,product_page_url,ebook Link,Audiobook Link,post_excerpt,sku,regular_price,sale_price,weight,images,meta:total_sales,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Dimension,attribute_data:Dimension,attribute:Edition,attribute_data:Edition,attribute:SIZE,attribute_data:SIZE,attribute:SIZE (Inches),attribute_data:SIZE (Inches),attribute:TYPE,attribute_data:TYPE,attribute:VARIATION,attribute_data:VARIATION,attribute:pa_artist,attribute_data:pa_artist,attribute:pa_authorby,attribute_data:pa_authorby,attribute:pa_binding,attribute_data:pa_binding,attribute:pa_isbn,attribute_data:pa_isbn,attribute:pa_language,attribute_data:pa_language,attribute:pa_media-type,attribute_data:pa_media-type,attribute:pa_no-of-pages,attribute_data:pa_no-of-pages,attribute:pa_publisher,attribute_data:pa_publisher,attribute:pa_subject,attribute_data:pa_subject,attribute:pa_tags,attribute_data:pa_tags
(Vol. 1) Pictorial Stories for Children,https://shop.advaitaashrama.org/product/pictorial-stories-for-children-1/,,,Vol. 1,MCE021,80,72,60,https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE021.jpg ! alt : ! title : MCE021 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE021_1.jpg ! alt : ! title : MCE021_1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE021-1.jpg ! alt : ! title : MCE021 (1) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE021-2-rotated.jpg ! alt : ! title : MCE021 (2) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE021-3-rotated.jpg ! alt : ! title : MCE021 (3) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE021-4.jpg ! alt : ! title : MCE021 (4) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE021-5.jpg ! alt : ! title : MCE021 (5) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE021-6-rotated.jpg ! alt : ! title : MCE021 (6) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE021-7-rotated.jpg ! alt : ! title : MCE021 (7) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE021-8-rotated.jpg ! alt : ! title : MCE021 (8) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE021-9-rotated.jpg ! alt : ! title : MCE021 (9) ! desc : ! caption :,23,simple,outofstock,"Ramakrishna Math, Chennai|Books|Books > Children's Books|Books > Philosophy > Moral Values",Chennai|Children&#039;s Books|English|Ramakrishna Math|Various Authors,,,,,,,,,,,,,,,,Various Authors,2|1|0,Paperback,5|1|0,9.79E+12,1|1|0,English,3|1|0,,,33,4|1|0,"Ramakrishna Math, Chennai",6|1|0,,,Children's Books,0|1|0
(Vol. 2) Pictorial Stories for Children,https://shop.advaitaashrama.org/product/vol-2-pictorial-stories-for-children/,,,Vol. 2,MCE022,80,72,75,https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE022.jpg ! alt : ! title : MCE022 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE022-10.jpg ! alt : ! title : MCE022 (10) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE022-1.jpg ! alt : ! title : MCE022 (1) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE022-2.jpg ! alt : ! title : MCE022 (2) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE022-3.jpg ! alt : ! title : MCE022 (3) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE022-4.jpg ! alt : ! title : MCE022 (4) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE022-5.jpg ! alt : ! title : MCE022 (5) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE022-6.jpg ! alt : ! title : MCE022 (6) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE022-7.jpg ! alt : ! title : MCE022 (7) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE022-8.jpg ! alt : ! title : MCE022 (8) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE022-9.jpg ! alt : ! title : MCE022 (9) ! desc : ! caption :,11,simple,outofstock,"Ramakrishna Math, Chennai|Books|Books > Children's Books|Books > Philosophy > Moral Values",Chennai|Children&#039;s Books|English|Ramakrishna Math|Various Authors,,,,,,,,,,,,,,,,Various Authors,1|1|0,Paperback,5|1|0,8.17E+09,3|1|0,English,4|1|0,,,34,2|1|0,"Ramakrishna Math, Chennai",6|1|0,,,Children's Books,0|1|0
(Vol. 3) Pictorial Stories for Children,https://shop.advaitaashrama.org/product/vol-3-pictorial-stories-for-children/,,,Vol. 3,MCE023,80,72,85,https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE023.jpg ! alt : ! title : MCE023 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE023-9.jpg ! alt : ! title : MCE023 (9) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE023_1.jpg ! alt : ! title : MCE023_1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE023-1.jpg ! alt : ! title : MCE023 (1) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE023-2.jpg ! alt : ! title : MCE023 (2) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE023-3.jpg ! alt : ! title : MCE023 (3) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE023-4.jpg ! alt : ! title : MCE023 (4) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE023-5.jpg ! alt : ! title : MCE023 (5) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE023-6.jpg ! alt : ! title : MCE023 (6) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE023-7.jpg ! alt : ! title : MCE023 (7) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE023-8.jpg ! alt : ! title : MCE023 (8) ! desc : ! caption :,5,simple,outofstock,"Ramakrishna Math, Chennai|Books|Books > Children's Books|Books > Philosophy > Moral Values",Chennai|Children&#039;s Books|English|Ramakrishna Math|Various Authors,,,,,,,,,,,,,,,,Various Authors,2|1|0,Paperback,5|1|0,9.79E+12,1|1|0,English,4|1|0,,,33,3|1|0,"Ramakrishna Math, Chennai",6|1|0,,,Children's Books,0|1|0
(Vol. 4) Pictorial Stories for Children,https://shop.advaitaashrama.org/product/vol-4-pictorial-stories-for-children/,,,Vol. 4,MCE024,40,36,90,https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE024.jpg ! alt : ! title : MCE024 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE024_1.jpg ! alt : ! title : MCE024_1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE024-9.jpg ! alt : ! title : MCE024 (9) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE024-1.jpg ! alt : ! title : MCE024 (1) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE024-2.jpg ! alt : ! title : MCE024 (2) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE024-3.jpg ! alt : ! title : MCE024 (3) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE024-4.jpg ! alt : ! title : MCE024 (4) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE024-5.jpg ! alt : ! title : MCE024 (5) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE024-6.jpg ! alt : ! title : MCE024 (6) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE024-7.jpg ! alt : ! title : MCE024 (7) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE024-8.jpg ! alt : ! title : MCE024 (8) ! desc : ! caption :,3,simple,outofstock,"Ramakrishna Math, Chennai|Books",Chennai|Children&#039;s Books|English|Ramakrishna Math|Various Authors,,,,,,,,,,,,,,,,Various Authors,0|1|0,Paperback,0|1|0,8.17E+09,0|1|0,English,0|1|0,,,32,0|1|0,"Ramakrishna Math, Chennai",0|1|0,,,Children's Books,0|1|0
(Vol. 5) Pictorial Stories for Children,https://shop.advaitaashrama.org/product/vol-5-pictorial-stories-for-children/,,,Vol. 5,MCE025,40,36,85,https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE025.jpg ! alt : ! title : MCE025 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE025_1.jpg ! alt : ! title : MCE025_1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE025-10.jpg ! alt : ! title : MCE025 (10) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE025-2.jpg ! alt : ! title : MCE025 (2) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE025-3-rotated.jpg ! alt : ! title : MCE025 (3) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE025-4.jpg ! alt : ! title : MCE025 (4) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE025-5-rotated.jpg ! alt : ! title : MCE025 (5) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE025-6-rotated.jpg ! alt : ! title : MCE025 (6) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE025-7-rotated.jpg ! alt : ! title : MCE025 (7) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE025-8.jpg ! alt : ! title : MCE025 (8) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE025-9.jpg ! alt : ! title : MCE025 (9) ! desc : ! caption :,8,simple,outofstock,"Ramakrishna Math, Chennai|Books|Books > Children's Books|Books > Philosophy > Moral Values",Chennai|Children&#039;s Books|English|Ramakrishna Math|Various Authors,,,,,,,,,,,,,,,,Various Authors,0|1|0,Paperback,0|1|0,8.17E+09,0|1|0,English,0|1|0,,,32,0|1|0,"Ramakrishna Math, Chennai",0|1|0,,,Children's Books,0|1|0
(Vol. 6) Pictorial Stories for Children,https://shop.advaitaashrama.org/product/vol-6-pictorial-stories-for-children/,,,Vol. 6,MCE026,40,36,85,https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE026.jpg ! alt : ! title : MCE026 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE026_1.jpg ! alt : ! title : MCE026_1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE026-9.jpg ! alt : ! title : MCE026 (9) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE026-1-rotated.jpg ! alt : ! title : MCE026 (1) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE026-2.jpg ! alt : ! title : MCE026 (2) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE026-3-rotated.jpg ! alt : ! title : MCE026 (3) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE026-4-rotated.jpg ! alt : ! title : MCE026 (4) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE026-5-rotated.jpg ! alt : ! title : MCE026 (5) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE026-6-rotated.jpg ! alt : ! title : MCE026 (6) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE026-7.jpg ! alt : ! title : MCE026 (7) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE026-8-rotated.jpg ! alt : ! title : MCE026 (8) ! desc : ! caption :,6,simple,outofstock,"Ramakrishna Math, Chennai|Books|Books > Children's Books|Books > Philosophy > Moral Values",Chennai|Children&#039;s Books|English|Ramakrishna Math|Various Authors,,,,,,,,,,,,,,,,Various Authors,0|1|0,Paperback,0|1|0,8.17E+09,0|1|0,English,0|1|0,,,32,0|1|0,"Ramakrishna Math, Chennai",0|1|0,,,Children's Books,0|1|0
(Vol. 7) Pictorial Stories for Children,https://shop.advaitaashrama.org/product/vol-7-pictorial-stories-for-children/,,,Vol. 7,MCE027,40,36,80,https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE027.jpg ! alt : ! title : MCE027 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE027_1.jpg ! alt : ! title : MCE027_1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE027-9.jpg ! alt : ! title : MCE027 (9) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE027-1-rotated.jpg ! alt : ! title : MCE027 (1) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE027-2-rotated.jpg ! alt : ! title : MCE027 (2) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE027-3-rotated.jpg ! alt : ! title : MCE027 (3) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE027-4-rotated.jpg ! alt : ! title : MCE027 (4) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE027-5-rotated.jpg ! alt : ! title : MCE027 (5) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE027-6-rotated.jpg ! alt : ! title : MCE027 (6) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE027-7-rotated.jpg ! alt : ! title : MCE027 (7) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE027-8.jpg ! alt : ! title : MCE027 (8) ! desc : ! caption :,6,simple,outofstock,"Ramakrishna Math, Chennai|Books|Books > Children's Books|Books > Philosophy > Moral Values",Chennai|Children&#039;s Books|English|Ramakrishna Math|Various Authors,,,,,,,,,,,,,,,,Various Authors,0|1|0,Paperback,0|1|0,8.17E+09,0|1|0,English,0|1|0,,,32,0|1|0,"Ramakrishna Math, Chennai",0|1|0,,,Children's Books,0|1|0
(Vol. 8) Pictorial Stories for Children,https://shop.advaitaashrama.org/product/vol-8-pictorial-stories-for-children/,,,Vol. 8,MCE028,35,31,85,https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE028.jpg ! alt : ! title : MCE028 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE028_1.jpg ! alt : ! title : MCE028_1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE028-9.jpg ! alt : ! title : MCE028 (9) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE028-1.jpg ! alt : ! title : MCE028 (1) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE028-2.jpg ! alt : ! title : MCE028 (2) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE028-3.jpg ! alt : ! title : MCE028 (3) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE028-4.jpg ! alt : ! title : MCE028 (4) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE028-5.jpg ! alt : ! title : MCE028 (5) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE028-6.jpg ! alt : ! title : MCE028 (6) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE028-7.jpg ! alt : ! title : MCE028 (7) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE028-8.jpg ! alt : ! title : MCE028 (8) ! desc : ! caption :,3,simple,,"Ramakrishna Math, Chennai|Books|Books > Children's Books|Books > Philosophy > Moral Values",Chennai|Children&#039;s Books|English|Ramakrishna Math|Various Authors,,,,,,,,,,,,,,,,Various Authors,1|1|0,Paperback,4|1|0,9.79E+12,6|1|0,English,3|1|0,,,32,2|1|0,"Ramakrishna Math, Chennai",5|1|0,,,Children's Books,0|1|0
(Vol. 9) Pictorial Stories for Children,https://shop.advaitaashrama.org/product/vol-9-pictorial-stories-for-children/,,,Vol. 9,MCE037,40,36,90,https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE037.jpg ! alt : ! title : MCE037 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE037-9.jpg ! alt : ! title : MCE037 (9) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE037_1.jpg ! alt : ! title : MCE037_1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE037-1.jpg ! alt : ! title : MCE037 (1) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE037-2.jpg ! alt : ! title : MCE037 (2) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE037-3.jpg ! alt : ! title : MCE037 (3) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE037-4.jpg ! alt : ! title : MCE037 (4) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE037-5.jpg ! alt : ! title : MCE037 (5) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE037-6.jpg ! alt : ! title : MCE037 (6) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE037-7.jpg ! alt : ! title : MCE037 (7) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE037-8.jpg ! alt : ! title : MCE037 (8) ! desc : ! caption :,10,simple,outofstock,"Ramakrishna Math, Chennai|Books|Books > Children's Books",Chennai|Children&#039;s Books|English|Ramakrishna Math|Various Authors,,,,,,,,,,,,,,,,Various Authors,2|1|0,Paperback,5|1|0,9.79E+12,1|1|0,English,4|1|0,,,32,3|1|0,"Ramakrishna Math, Chennai",6|1|0,,,Children's Books,0|1|0
(Vol. 10) Pictorial Stories for Children,https://shop.advaitaashrama.org/product/vol-10-pictorial-stories-for-children/,,,Vol. 10,MCE038,80,72,60,https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE038.jpg ! alt : ! title : MCE038 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE038_1.jpg ! alt : ! title : MCE038_1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE038-9.jpg ! alt : ! title : MCE038 (9) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE038-1.jpg ! alt : ! title : MCE038 (1) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE038-2.jpg ! alt : ! title : MCE038 (2) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE038-3.jpg ! alt : ! title : MCE038 (3) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE038-4.jpg ! alt : ! title : MCE038 (4) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE038-5.jpg ! alt : ! title : MCE038 (5) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE038-6.jpg ! alt : ! title : MCE038 (6) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE038-7.jpg ! alt : ! title : MCE038 (7) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/07/MCE038-8.jpg ! alt : ! title : MCE038 (8) ! desc : ! caption :,9,simple,outofstock,"Ramakrishna Math, Chennai|Books|Books > Children's Books",Chennai|Children&#039;s Books|English|Ramakrishna Math|Various Authors,,,,,,,,,,,,,,,,Various Authors,2|1|0,Paperback,5|1|0,9.79E+12,1|1|0,English,4|1|0,,,32,3|1|0,"Ramakrishna Math, Chennai",6|1|0,,,Children's Books,0|1|0
Prabuddha Bharata Aug 2019,https://shop.advaitaashrama.org/product/prabuddha-bharata-aug-2019/,,,Single Issue without subscription,APB010-0819,15,,130,https://shop.advaitaashrama.org/wp-content/uploads/2019/07/pb-cover-Aug-2019.jpg ! alt : ! title : pb cover Aug 2019 ! desc : ! caption :,6,simple,,Magazine > Prabuddha Bharata,2019|Magazine|Prabuddha Bharata|Single Issue,,,,,,,,,,,,,,,,,,,,,,English,0|1|0,,,,,Advaita Ashrama,1|1|0,,,,
(Vol. 11) Pictorial Stories for Children,https://shop.advaitaashrama.org/product/vol-11-pictorial-stories-for-children/,,,Vol. 11,MCE040,100,90,85,https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE040.jpg ! alt : ! title : MCE040 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE040_1.jpg ! alt : ! title : MCE040_1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE040-9.jpg ! alt : ! title : MCE040 (9) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE040-1.jpg ! alt : ! title : MCE040 (1) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE040-2.jpg ! alt : ! title : MCE040 (2) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE040-3.jpg ! alt : ! title : MCE040 (3) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE040-4.jpg ! alt : ! title : MCE040 (4) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE040-5.jpg ! alt : ! title : MCE040 (5) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE040-6.jpg ! alt : ! title : MCE040 (6) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE040-7.jpg ! alt : ! title : MCE040 (7) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE040-8.jpg ! alt : ! title : MCE040 (8) ! desc : ! caption :,8,simple,outofstock,"Ramakrishna Math, Chennai|Books|Books > Children's Books",Chennai|Children&#039;s Books|English|Ramakrishna Math|Various Authors,,,,,,,,,,,,,,,,Various Authors,2|1|0,Paperback,5|1|0,9.79E+12,1|1|0,English,4|1|0,,,32,3|1|0,"Ramakrishna Math, Chennai",6|1|0,,,Children's Books,0|1|0
(Vol. 12) Pictorial Stories for Children,https://shop.advaitaashrama.org/product/vol-12-pictorial-stories-for-children/,,,Vol. 12,MCE041,45,40,85,https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE041.jpg ! alt : ! title : MCE041 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE041_1.jpg ! alt : ! title : MCE041_1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE041-9.jpg ! alt : ! title : MCE041 (9) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE041-1.jpg ! alt : ! title : MCE041 (1) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE041-2.jpg ! alt : ! title : MCE041 (2) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE041-3.jpg ! alt : ! title : MCE041 (3) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE041-4.jpg ! alt : ! title : MCE041 (4) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE041-5.jpg ! alt : ! title : MCE041 (5) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE041-6.jpg ! alt : ! title : MCE041 (6) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE041-7.jpg ! alt : ! title : MCE041 (7) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE041-8.jpg ! alt : ! title : MCE041 (8) ! desc : ! caption :,9,simple,outofstock,"Ramakrishna Math, Chennai|Books|Books > Children's Books",Chennai|Children&#039;s Books|English|Ramakrishna Math|Various Authors,,,,,,,,,,,,,,,,Various Authors,2|1|0,Paperback,5|1|0,9.79E+12,1|1|0,English,4|1|0,,,32,3|1|0,"Ramakrishna Math, Chennai",6|1|0,,,Children's Books,0|1|0
(Vol. 13) Pictorial Stories for Children,https://shop.advaitaashrama.org/product/vol-13-pictorial-stories-for-children/,,,Vol. 13,MCE042,45,40,85,https://shop.advaitaashrama.org/wp-content/uploads/2020/01/MCE042.jpg ! alt : ! title : MCE042 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2020/01/MCE042_1.jpg ! alt : ! title : MCE042_1 ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE042-9.jpg ! alt : ! title : MCE042 (9) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE042-1.jpg ! alt : ! title : MCE042 (1) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE042-2.jpg ! alt : ! title : MCE042 (2) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE042-3.jpg ! alt : ! title : MCE042 (3) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE042-4.jpg ! alt : ! title : MCE042 (4) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE042-5.jpg ! alt : ! title : MCE042 (5) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE042-6.jpg ! alt : ! title : MCE042 (6) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE042-7.jpg ! alt : ! title : MCE042 (7) ! desc : ! caption : | https://shop.advaitaashrama.org/wp-content/uploads/2019/08/MCE042-8.jpg ! alt : ! title : MCE042 (8) ! desc : ! caption :,8,simple,outofstock,"Ramakrishna Math, Chennai|Books|Books > Children's Books",Chennai|Children&#039;s Books|English|Ramakrishna Math|Various Authors,,,,,,,,,,,,,,,,Various Authors,2|1|0,Paperback,5|1|0,9.79E+12,1|1|0,English,4|1|0,,,32,3|1|0,"Ramakrishna Math, Chennai",6|1|0,,,Children's Books,0|1|0
